"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 02 16:45:53 IST 2023","Thu Feb 02 16:45:53 IST 2023","477","","","","","","Verify POST call for single user",""
"passed","Thu Feb 02 16:45:53 IST 2023","Thu Feb 02 16:45:53 IST 2023","218","","","","","","Verify GET call for single user",""
